"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",169.60,-171.39,,"Qualified",0.990,1.40,4.80,"4-1-1",1,"Alloy 617","Plate",314626
2,"CapPass",169.25,-177.47,,"Qualified",0.954,7.96,11.38,"4-1-1",2,"Alloy 617","Plate",314626
3,"CapPass",176.14,-177.89,,"Qualified",0.990,14.72,18.43,"4-1-1",3,"Alloy 617","Plate",314626
4,"CapPass",180.66,-185.51,,"Qualified",0.974,22.03,26.08,"4-1-1",4,"Alloy 617","Plate",314626
5,"CapPass",185.06,-185.30,,"Qualified",0.999,29.79,33.48,"4-1-1",5,"Alloy 617","Plate",314626
6,"CapPass",184.13,-188.77,,"Qualified",0.975,37.76,41.98,"4-1-1",6,"Alloy 617","Plate",314626
7,"CapPass",186.26,-186.88,,"Qualified",0.997,45.42,49.61,"4-1-1",7,"Alloy 617","Plate",314626
8,"CapPass",189.22,-188.27,,"Qualified",1.005,53.96,57.63,"4-1-1",8,"Alloy 617","Plate",314626
9,"CapPass",188.05,-190.76,,"Qualified",0.986,61.62,65.74,"4-1-1",9,"Alloy 617","Plate",314626
10,"CapPass",190.80,-192.78,,"Qualified",0.990,69.85,73.93,"4-1-1",10,"Alloy 617","Plate",314626
11,"CapPass",191.41,-192.67,,"Qualified",0.994,77.67,81.73,"4-1-1",11,"Alloy 617","Plate",314626
12,"CapPass",193.11,-193.26,,"Qualified",0.999,85.82,89.73,"4-1-1",12,"Alloy 617","Plate",314626
13,"CapPass",192.87,-194.32,,"Qualified",0.993,94.09,97.73,"4-1-1",13,"Alloy 617","Plate",314626
14,"CapPass",194.13,-195.61,,"Qualified",0.992,101.87,106.10,"4-1-1",14,"Alloy 617","Plate",314626
15,"CapPass",196.03,-196.06,,"Qualified",1.000,109.82,113.66,"4-1-1",15,"Alloy 617","Plate",314626
16,"CapPass",193.68,-200.78,,"Qualified",0.965,117.76,121.97,"4-1-1",16,"Alloy 617","Plate",314626
17,"CapPass",195.60,-199.59,,"Qualified",0.980,126.06,130.08,"4-1-1",17,"Alloy 617","Plate",314626
18,"CapPass",202.47,-200.34,,"Qualified",1.011,134.03,137.82,"4-1-1",18,"Alloy 617","Plate",314626
19,"CapPass",196.03,-200.84,,"Qualified",0.976,141.80,145.79,"4-1-1",19,"Alloy 617","Plate",314626
20,"CapPass",200.97,-201.24,,"Qualified",0.999,150.07,154.05,"4-1-1",20,"Alloy 617","Plate",314626
21,"CapPass",199.63,-201.38,,"Qualified",0.991,157.84,161.92,"4-1-1",21,"Alloy 617","Plate",314626
22,"CapPass",202.58,-205.32,,"Qualified",0.987,166.04,170.08,"4-1-1",22,"Alloy 617","Plate",314626
23,"CapPass",202.41,-198.30,,"Qualified",1.021,174.12,177.70,"4-1-1",23,"Alloy 617","Plate",314626
24,"CapPass",199.45,-201.85,,"Qualified",0.988,181.96,186.00,"4-1-1",24,"Alloy 617","Plate",314626
25,"CapPass",204.08,-203.89,,"Qualified",1.001,190.15,194.01,"4-1-1",25,"Alloy 617","Plate",314626
