"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",161.50,-165.05,,"Qualified",0.979,1.27,4.46,"43-16",1,"Alloy 617","Plate",314626
2,"CapPass",166.63,-169.67,,"Qualified",0.982,7.36,10.70,"43-16",2,"Alloy 617","Plate",314626
3,"CapPass",166.40,-174.67,,"Qualified",0.953,14.07,17.46,"43-16",3,"Alloy 617","Plate",314626
4,"CapPass",171.24,-177.49,,"Qualified",0.965,20.95,24.53,"43-16",4,"Alloy 617","Plate",314626
5,"CapPass",176.92,-175.03,,"Qualified",1.011,28.25,32.04,"43-16",5,"Alloy 617","Plate",314626
6,"CapPass",174.66,-174.25,,"Qualified",1.002,35.80,39.97,"43-16",6,"Alloy 617","Plate",314626
7,"CapPass",171.96,-171.66,,"Qualified",1.002,43.88,47.97,"43-16",7,"Alloy 617","Plate",314626
8,"CapPass",167.23,-171.35,,"Qualified",0.976,51.88,55.98,"43-16",8,"Alloy 617","Plate",314626
9,"CapPass",168.68,-173.10,,"Qualified",0.974,59.99,63.98,"43-16",9,"Alloy 617","Plate",314626
10,"CapPass",167.89,-172.32,,"Qualified",0.974,67.92,71.96,"43-16",10,"Alloy 617","Plate",314626
11,"CapPass",166.24,-169.67,,"Qualified",0.980,76.02,80.02,"43-16",11,"Alloy 617","Plate",314626
12,"CapPass",165.24,-170.12,,"Qualified",0.971,83.73,88.02,"43-16",12,"Alloy 617","Plate",314626
13,"CapPass",167.29,-169.51,,"Qualified",0.987,91.88,96.02,"43-16",13,"Alloy 617","Plate",314626
14,"CapPass",164.49,-170.76,,"Qualified",0.963,99.92,103.96,"43-16",14,"Alloy 617","Plate",314626
15,"CapPass",166.03,-168.60,,"Qualified",0.985,107.95,112.04,"43-16",15,"Alloy 617","Plate",314626
16,"CapPass",164.91,-170.40,,"Qualified",0.968,116.05,119.98,"43-16",16,"Alloy 617","Plate",314626
17,"CapPass",165.26,-170.40,,"Qualified",0.970,124.01,128.07,"43-16",17,"Alloy 617","Plate",314626
18,"CapPass",166.06,-168.12,,"Qualified",0.988,132.04,136.07,"43-16",18,"Alloy 617","Plate",314626
