"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",162.04,-163.97,,"Qualified",0.988,1.25,4.46,"43-9",1,"Alloy 617","Plate",314626
2,"CapPass",167.15,-168.27,,"Qualified",0.993,7.35,10.57,"43-9",2,"Alloy 617","Plate",314626
3,"CapPass",171.66,-173.66,,"Qualified",0.989,13.90,17.21,"43-9",3,"Alloy 617","Plate",314626
4,"CapPass",174.42,-176.19,,"Qualified",0.990,20.71,24.25,"43-9",4,"Alloy 617","Plate",314626
5,"CapPass",173.20,-171.54,,"Qualified",1.010,27.92,32.05,"43-9",5,"Alloy 617","Plate",314626
6,"CapPass",169.14,-173.63,,"Qualified",0.974,35.83,39.98,"43-9",6,"Alloy 617","Plate",314626
7,"CapPass",169.03,-170.54,,"Qualified",0.991,43.91,47.97,"43-9",7,"Alloy 617","Plate",314626
8,"CapPass",168.60,-171.10,,"Qualified",0.985,51.97,55.99,"43-9",8,"Alloy 617","Plate",314626
9,"CapPass",167.93,-171.13,,"Qualified",0.981,59.91,63.99,"43-9",9,"Alloy 617","Plate",314626
10,"CapPass",161.89,-170.66,,"Qualified",0.949,67.62,71.99,"43-9",10,"Alloy 617","Plate",314626
11,"CapPass",164.41,-169.04,,"Qualified",0.973,75.96,79.99,"43-9",11,"Alloy 617","Plate",314626
12,"CapPass",164.40,-166.48,,"Qualified",0.988,83.81,88.02,"43-9",12,"Alloy 617","Plate",314626
13,"CapPass",162.18,-169.51,,"Qualified",0.957,92.03,96.03,"43-9",13,"Alloy 617","Plate",314626
14,"CapPass",163.67,-167.51,,"Qualified",0.977,100.02,104.01,"43-9",14,"Alloy 617","Plate",314626
15,"CapPass",164.92,-168.33,,"Qualified",0.980,107.87,112.06,"43-9",15,"Alloy 617","Plate",314626
16,"CapPass",165.35,-169.14,,"Qualified",0.978,115.90,120.04,"43-9",16,"Alloy 617","Plate",314626
17,"CapPass",164.45,-166.86,,"Qualified",0.986,123.87,128.07,"43-9",17,"Alloy 617","Plate",314626
18,"CapPass",162.37,-168.01,,"Qualified",0.966,131.78,136.06,"43-9",18,"Alloy 617","Plate",314626
19,"CapPass",163.82,-168.50,,"Qualified",0.972,139.94,144.02,"43-9",19,"Alloy 617","Plate",314626
20,"CapPass",164.95,-167.86,,"Qualified",0.983,147.92,152.10,"43-9",20,"Alloy 617","Plate",314626
21,"CapPass",164.78,-169.03,,"Qualified",0.975,156.09,160.11,"43-9",21,"Alloy 617","Plate",314626
22,"CapPass",163.12,-166.96,,"Qualified",0.977,163.96,167.90,"43-9",22,"Alloy 617","Plate",314626
23,"CapPass",167.52,-168.76,,"Qualified",0.993,171.97,176.12,"43-9",23,"Alloy 617","Plate",314626
24,"CapPass",163.89,-171.19,,"Qualified",0.957,179.79,184.13,"43-9",24,"Alloy 617","Plate",314626
25,"CapPass",165.33,-170.07,,"Qualified",0.972,188.13,192.14,"43-9",25,"Alloy 617","Plate",314626
26,"CapPass",164.91,-169.83,,"Qualified",0.971,195.85,200.16,"43-9",26,"Alloy 617","Plate",314626
27,"CapPass",165.44,-171.15,,"Qualified",0.967,204.09,207.89,"43-9",27,"Alloy 617","Plate",314626
28,"CapPass",163.33,-169.17,,"Qualified",0.965,212.10,216.17,"43-9",28,"Alloy 617","Plate",314626
29,"CapPass",163.03,-169.81,,"Qualified",0.960,219.98,224.10,"43-9",29,"Alloy 617","Plate",314626
30,"CapPass",164.66,-168.08,,"Qualified",0.980,228.03,232.17,"43-9",30,"Alloy 617","Plate",314626
31,"CapPass",163.24,-167.72,,"Qualified",0.973,236.20,240.20,"43-9",31,"Alloy 617","Plate",314626
32,"CapPass",162.07,-169.09,,"Qualified",0.958,244.20,248.18,"43-9",32,"Alloy 617","Plate",314626
33,"CapPass",166.05,-166.14,,"Qualified",0.999,251.91,256.16,"43-9",33,"Alloy 617","Plate",314626
34,"CapPass",162.72,-168.11,,"Qualified",0.968,259.89,264.22,"43-9",34,"Alloy 617","Plate",314626
35,"CapPass",165.64,-168.55,,"Qualified",0.983,268.01,272.24,"43-9",35,"Alloy 617","Plate",314626
36,"CapPass",165.89,-168.78,,"Qualified",0.983,276.24,280.23,"43-9",36,"Alloy 617","Plate",314626
37,"CapPass",165.16,-168.03,,"Qualified",0.983,284.22,288.24,"43-9",37,"Alloy 617","Plate",314626
38,"CapPass",163.17,-169.47,,"Qualified",0.963,291.95,296.26,"43-9",38,"Alloy 617","Plate",314626
39,"CapPass",164.63,-168.45,,"Qualified",0.977,300.10,304.27,"43-9",39,"Alloy 617","Plate",314626
40,"CapPass",164.99,-169.81,,"Qualified",0.972,308.26,312.26,"43-9",40,"Alloy 617","Plate",314626
41,"CapPass",162.62,-168.78,,"Qualified",0.964,315.93,320.28,"43-9",41,"Alloy 617","Plate",314626
42,"CapPass",165.20,-167.86,,"Qualified",0.984,324.18,328.27,"43-9",42,"Alloy 617","Plate",314626
43,"CapPass",168.11,-166.92,,"Qualified",1.007,332.05,336.29,"43-9",43,"Alloy 617","Plate",314626
44,"CapPass",164.25,-165.63,,"Qualified",0.992,340.05,344.31,"43-9",44,"Alloy 617","Plate",314626
45,"CapPass",165.35,-169.89,,"Qualified",0.973,348.32,352.03,"43-9",45,"Alloy 617","Plate",314626
46,"CapPass",164.91,-169.19,,"Qualified",0.975,356.32,360.31,"43-9",46,"Alloy 617","Plate",314626
47,"CapPass",162.70,-167.67,,"Qualified",0.970,364.30,368.33,"43-9",47,"Alloy 617","Plate",314626
48,"CapPass",167.26,-168.47,,"Qualified",0.993,372.22,376.33,"43-9",48,"Alloy 617","Plate",314626
49,"CapPass",165.66,-169.94,,"Qualified",0.975,380.28,384.33,"43-9",49,"Alloy 617","Plate",314626
50,"CapPass",163.98,-166.61,,"Qualified",0.984,388.35,392.34,"43-9",50,"Alloy 617","Plate",314626
51,"CapPass",163.76,-169.09,,"Qualified",0.968,396.36,400.18,"43-9",51,"Alloy 617","Plate",314626
52,"CapPass",165.39,-168.42,,"Qualified",0.982,404.36,408.35,"43-9",52,"Alloy 617","Plate",314626
53,"CapPass",161.34,-169.28,,"Qualified",0.953,412.17,416.15,"43-9",53,"Alloy 617","Plate",314626
54,"CapPass",163.34,-169.44,,"Qualified",0.964,420.21,424.37,"43-9",54,"Alloy 617","Plate",314626
55,"CapPass",166.13,-172.88,,"Qualified",0.961,428.40,432.32,"43-9",55,"Alloy 617","Plate",314626
56,"CapPass",163.78,-167.40,,"Qualified",0.978,436.40,440.30,"43-9",56,"Alloy 617","Plate",314626
57,"CapPass",164.35,-169.81,,"Qualified",0.968,444.04,448.17,"43-9",57,"Alloy 617","Plate",314626
58,"CapPass",166.60,-165.97,,"Qualified",1.004,452.39,456.42,"43-9",58,"Alloy 617","Plate",314626
59,"CapPass",164.22,-168.15,,"Qualified",0.977,460.38,464.43,"43-9",59,"Alloy 617","Plate",314626
60,"CapPass",164.67,-167.14,,"Qualified",0.985,468.25,472.44,"43-9",60,"Alloy 617","Plate",314626
61,"CapPass",164.11,-168.36,,"Qualified",0.975,476.40,480.45,"43-9",61,"Alloy 617","Plate",314626
62,"CapPass",163.37,-169.22,,"Qualified",0.965,484.45,488.45,"43-9",62,"Alloy 617","Plate",314626
63,"CapPass",161.75,-169.81,,"Qualified",0.953,492.47,496.40,"43-9",63,"Alloy 617","Plate",314626
64,"CapPass",166.92,-166.37,,"Qualified",1.003,500.16,504.31,"43-9",64,"Alloy 617","Plate",314626
65,"CapPass",161.87,-168.49,,"Qualified",0.961,508.48,512.50,"43-9",65,"Alloy 617","Plate",314626
66,"CapPass",166.09,-168.75,,"Qualified",0.984,516.27,520.49,"43-9",66,"Alloy 617","Plate",314626
67,"CapPass",167.36,-169.81,,"Qualified",0.986,524.50,528.23,"43-9",67,"Alloy 617","Plate",314626
68,"CapPass",164.65,-169.45,,"Qualified",0.972,532.50,536.50,"43-9",68,"Alloy 617","Plate",314626
69,"CapPass",164.82,-167.84,,"Qualified",0.982,540.24,544.45,"43-9",69,"Alloy 617","Plate",314626
70,"CapPass",162.66,-169.92,,"Qualified",0.957,548.54,552.38,"43-9",70,"Alloy 617","Plate",314626
71,"CapPass",167.03,-169.24,,"Qualified",0.987,556.39,560.54,"43-9",71,"Alloy 617","Plate",314626
72,"CapPass",162.70,-171.27,,"Qualified",0.950,564.56,568.55,"43-9",72,"Alloy 617","Plate",314626
