"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",".",-240.68,,"Qualified",".",".",28.68,"416-10",1,"Alloy 617","Plate",314626
2,"CapPass",256.97,-285.89,,"Qualified",0.899,47.38,66.97,"416-10",2,"Alloy 617","Plate",314626
3,"CapPass",282.06,-299.01,,"Qualified",0.943,86.28,105.77,"416-10",3,"Alloy 617","Plate",314626
4,"CapPass",287.84,-300.13,,"Qualified",0.959,125.42,144.82,"416-10",4,"Alloy 617","Plate",314626
5,"CapPass",286.62,-301.31,,"Qualified",0.951,165.86,185.88,"416-10",5,"Alloy 617","Plate",314626
6,"CapPass",288.78,-302.61,,"Qualified",0.954,205.86,225.53,"416-10",6,"Alloy 617","Plate",314626
7,"CapPass",286.69,-301.53,,"Qualified",0.951,245.07,265.46,"416-10",7,"Alloy 617","Plate",314626
8,"CapPass",288.15,-305.90,,"Qualified",0.942,285.84,305.35,"416-10",8,"Alloy 617","Plate",314626
9,"CapPass",287.49,-303.04,,"Qualified",0.949,325.18,344.74,"416-10",9,"Alloy 617","Plate",314626
10,"CapPass",287.88,-302.56,,"Qualified",0.951,365.91,385.02,"416-10",10,"Alloy 617","Plate",314626
11,"CapPass",286.45,-300.53,,"Qualified",0.953,405.71,425.85,"416-10",11,"Alloy 617","Plate",314626
12,"CapPass",286.88,-301.02,,"Qualified",0.953,443.85,465.19,"416-10",12,"Alloy 617","Plate",314626
13,"CapPass",285.35,-298.58,,"Qualified",0.956,485.71,505.44,"416-10",13,"Alloy 617","Plate",314626
14,"CapPass",287.60,-299.41,,"Qualified",0.961,525.73,545.96,"416-10",14,"Alloy 617","Plate",314626
15,"CapPass",286.83,-299.50,,"Qualified",0.958,565.71,585.98,"416-10",15,"Alloy 617","Plate",314626
16,"CapPass",285.25,-299.18,,"Qualified",0.953,605.71,625.98,"416-10",16,"Alloy 617","Plate",314626
17,"CapPass",286.81,-299.78,,"Qualified",0.957,645.98,663.77,"416-10",17,"Alloy 617","Plate",314626
18,"CapPass",288.18,-299.06,,"Qualified",0.964,685.81,705.06,"416-10",18,"Alloy 617","Plate",314626
