"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",".",-253.01,,"Qualified",".",".",42.91,"416-14",1,"Alloy 617","Plate",314626
2,"CapPass",284.46,-307.93,,"Qualified",0.924,72.01,100.94,"416-14",2,"Alloy 617","Plate",314626
3,"CapPass",294.69,-312.90,,"Qualified",0.942,131.73,161.47,"416-14",3,"Alloy 617","Plate",314626
4,"CapPass",297.28,-312.84,,"Qualified",0.950,187.70,219.05,"416-14",4,"Alloy 617","Plate",314626
5,"CapPass",296.07,-311.61,,"Qualified",0.950,249.48,280.59,"416-14",5,"Alloy 617","Plate",314626
6,"CapPass",295.57,-313.33,,"Qualified",0.943,309.40,340.93,"416-14",6,"Alloy 617","Plate",314626
7,"CapPass",295.89,-312.04,,"Qualified",0.948,367.42,399.61,"416-14",7,"Alloy 617","Plate",314626
8,"CapPass",295.57,-313.79,,"Qualified",0.942,427.23,460.91,"416-14",8,"Alloy 617","Plate",314626
9,"CapPass",296.25,-314.41,,"Qualified",0.942,486.62,520.08,"416-14",9,"Alloy 617","Plate",314626
10,"CapPass",295.03,-310.82,,"Qualified",0.949,548.97,576.70,"416-14",10,"Alloy 617","Plate",314626
11,"CapPass",295.20,-314.75,,"Qualified",0.938,609.30,640.83,"416-14",11,"Alloy 617","Plate",314626
12,"CapPass",295.37,-310.45,,"Qualified",0.951,670.94,699.00,"416-14",12,"Alloy 617","Plate",314626
13,"CapPass",295.32,-313.64,,"Qualified",0.942,729.48,759.53,"416-14",13,"Alloy 617","Plate",314626
14,"CapPass",296.49,-310.33,,"Qualified",0.955,789.16,819.13,"416-14",14,"Alloy 617","Plate",314626
15,"CapPass",296.66,-311.29,,"Qualified",0.953,848.45,876.27,"416-14",15,"Alloy 617","Plate",314626
16,"CapPass",295.46,-313.26,,"Qualified",0.943,906.35,939.68,"416-14",16,"Alloy 617","Plate",314626
