"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",131.66,-115.09,,"Qualified",1.144,12.74,118.37,"43-8",1,"Alloy 617","Plate",314626
2,"CapPass",116.13,-116.61,,"Qualified",0.996,207.83,308.24,"43-8",2,"Alloy 617","Plate",314626
3,"CapPass",114.35,-115.98,,"Qualified",0.986,394.27,486.28,"43-8",3,"Alloy 617","Plate",314626
4,"CapPass",114.20,-116.13,,"Qualified",0.983,582.30,682.06,"43-8",4,"Alloy 617","Plate",314626
5,"CapPass",112.66,-118.20,,"Qualified",0.953,782.96,886.61,"43-8",5,"Alloy 617","Plate",314626
6,"CapPass",115.65,-117.93,,"Qualified",0.981,981.94,1084.67,"43-8",6,"Alloy 617","Plate",314626
7,"CapPass",114.48,-114.89,,"Qualified",0.996,1189.72,1297.32,"43-8",7,"Alloy 617","Plate",314626
8,"CapPass",113.56,-114.66,,"Qualified",0.990,1393.07,1489.68,"43-8",8,"Alloy 617","Plate",314626
9,"CapPass",114.47,-115.04,,"Qualified",0.995,1570.83,1693.40,"43-8",9,"Alloy 617","Plate",314626
10,"CapPass",114.78,-119.21,,"Qualified",0.963,1756.09,1884.13,"43-8",10,"Alloy 617","Plate",314626
11,"CapPass",114.15,-115.15,,"Qualified",0.991,1948.40,2084.75,"43-8",11,"Alloy 617","Plate",314626
12,"CapPass",113.09,-113.99,,"Qualified",0.992,2189.09,2287.38,"43-8",12,"Alloy 617","Plate",314626
13,"CapPass",114.66,-121.30,,"Qualified",0.945,2376.50,2475.07,"43-8",13,"Alloy 617","Plate",314626
14,"CapPass",113.16,-117.17,,"Qualified",0.966,2568.29,2672.46,"43-8",14,"Alloy 617","Plate",314626
15,"CapPass",116.12,-116.84,,"Qualified",0.994,2779.65,2890.29,"43-8",15,"Alloy 617","Plate",314626
16,"CapPass",114.04,-114.56,,"Qualified",0.995,2977.70,3095.94,"43-8",16,"Alloy 617","Plate",314626
17,"CapPass",114.71,-116.72,,"Qualified",0.983,3184.23,3291.07,"43-8",17,"Alloy 617","Plate",314626
18,"CapPass",113.29,-118.17,,"Qualified",0.959,3386.50,3493.95,"43-8",18,"Alloy 617","Plate",314626
19,"CapPass",112.76,-115.73,,"Qualified",0.974,3592.19,3689.67,"43-8",19,"Alloy 617","Plate",314626
20,"CapPass",113.74,-116.37,,"Qualified",0.977,3753.75,3887.81,"43-8",20,"Alloy 617","Plate",314626
21,"CapPass",113.58,-117.81,,"Qualified",0.964,3981.18,4090.98,"43-8",21,"Alloy 617","Plate",314626
22,"CapPass",115.01,-117.13,,"Qualified",0.982,4197.61,4297.54,"43-8",22,"Alloy 617","Plate",314626
